symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
RADUSDT,-0.03600000,-1.745,2.07175972,2.06200000,2.02700000,221.40000000,2.02700000,200.60000000,2.02800000,365.00000000,2.06300000,2.13700000,2.00100000,2285369.20000000,4734735.84520000,1684624246274,1684710646274,15991808,16008616,16809
YFIDOWNUSDT,0.00000000,0.000,0.00000000,0.90090000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681652124655,1681738524655,-1,-1,0
KDAUSDT,-0.00800000,-1.019,0.77766448,0.78600000,0.77700000,146.28000000,0.77700000,522.36000000,0.77800000,309.08000000,0.78500000,0.79100000,0.77000000,892215.20000000,693844.07019000,1684624273205,1684710673205,9985671,9990819,5149
LPTUSDT,-0.21000000,-4.183,4.89614666,5.02000000,4.81000000,195.54000000,4.80000000,9945.92000000,4.81000000,122.72000000,5.02000000,5.04000000,4.75000000,86625.82000000,424132.71910000,1684624225342,1684710625342,16033469,16036577,3109
HCUSDT,0.00000000,0.000,0.00000000,0.84230000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681651143202,1681737543202,-1,-1,0
FARMUSDT,-0.97000000,-3.386,28.19482538,28.68000000,27.68000000,1.28600000,27.68000000,5.12100000,27.70000000,7.22000000,28.65000000,28.86000000,27.28000000,9941.38300000,280295.55774000,1684624135349,1684710535349,11809881,11812188,2308
ANTUSDT,0.02700000,0.787,3.47889059,3.43000000,3.45800000,25.80000000,3.45600000,269.70000000,3.45700000,138.00000000,3.43100000,3.54900000,3.41500000,666082.00000000,2317226.40450000,1684624150915,1684710550915,43433083,43449597,16515
OPUSDT,-0.03600000,-2.142,1.65954363,1.68100000,1.64500000,6.56000000,1.64400000,18313.85000000,1.64500000,3298.21000000,1.68100000,1.70100000,1.62200000,7297533.03000000,12110574.48765000,1684624286399,1684710686399,35204420,35239856,35437
AUCTIONUSDT,-0.18000000,-3.543,4.98370704,5.07000000,4.90000000,13.29000000,4.89000000,631.93000000,4.90000000,258.77000000,5.08000000,5.09000000,4.88000000,31658.52000000,157776.78890000,1684624144620,1684710544620,5841306,5842291,986
FORUSDT,-0.00055000,-2.818,0.01925739,0.01951000,0.01897000,1064.00000000,0.01897000,18971.00000000,0.01898000,1319.00000000,0.01952000,0.01969000,0.01892000,5004412.00000000,96371.89070000,1684624191248,1684710591248,11571178,11572170,993
BNTUSDT,-0.00900000,-2.154,0.41327736,0.41760000,0.40890000,227.50000000,0.40890000,3043.00000000,0.40940000,78.10000000,0.41790000,0.42050000,0.40600000,506112.20000000,209164.71385000,1684624115518,1684710515518,12080244,12085211,4968
UFTUSDT,-0.00740000,-2.067,0.35542089,0.35810000,0.35060000,59.00000000,0.35050000,403.00000000,0.35100000,800.00000000,0.35800000,0.36500000,0.34700000,716941.00000000,254815.80920000,1684624304695,1684710704695,350467,351975,1509
TUSDT,-0.00079000,-2.820,0.02753639,0.02801000,0.02722000,7346.60000000,0.02721000,18259.10000000,0.02722000,41736.30000000,0.02801000,0.02813000,0.02698000,31806639.40000000,875839.87502200,1684624269925,1684710669925,7197869,7205973,8105
BTCSTUSDT,0.00000000,0.000,0.00000000,5.35000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681651464549,1681737864549,-1,-1,0
NEXOUSDT,-0.01300000,-1.890,0.67894153,0.68900000,0.67500000,386.41000000,0.67300000,1794.31000000,0.67500000,1994.02000000,0.68800000,0.68900000,0.67100000,272890.84000000,185276.92359000,1684624009741,1684710409741,5936213,5938249,2037
LSKUSDT,-0.02800000,-3.244,0.84495034,0.86200000,0.83500000,395.50000000,0.83400000,792.80000000,0.83600000,518.40000000,0.86300000,0.86400000,0.83200000,81695.30000000,69028.47160000,1684624113773,1684710513773,14905132,14906065,934
ASTRUSDT,-0.00180000,-3.358,0.05256286,0.05360000,0.05180000,9501.60000000,0.05180000,328595.20000000,0.05190000,114526.60000000,0.05360000,0.05400000,0.05120000,17007256.20000000,893950.05061000,1684624278404,1684710678404,11366293,11373114,6822
VGXUSDT,-0.00940000,-5.927,0.15456872,0.15890000,0.14920000,135.00000000,0.14900000,12260.40000000,0.14920000,2365.40000000,0.15860000,0.16060000,0.14810000,20938904.70000000,3236499.59894000,1684624259483,1684710659483,18470843,18485171,14329
BZRXUSDT,0.00000000,0.000,0.00000000,0.21560000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681652760296,1681739160296,-1,-1,0
XEMUSDT,-0.00050000,-1.524,0.03273915,0.03290000,0.03230000,5285.00000000,0.03230000,59319.00000000,0.03240000,135206.00000000,0.03280000,0.03320000,0.03210000,13986818.00000000,457916.46380000,1684624188318,1684710588318,35177770,35180005,2236
PAXUSDT,0.00000000,0.000,0.00000000,0.99960000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681651464549,1681737864549,-1,-1,0
1INCHUPUSDT,0.00000000,0.000,0.00000000,0.06570300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681652395531,1681738795531,-1,-1,0
NMRUSDT,-0.17000000,-1.201,14.12568313,14.15000000,13.98000000,3.73000000,13.96000000,110.47000000,13.98000000,57.03000000,14.15000000,14.32000000,13.89000000,10640.51000000,150304.47260000,1684623923624,1684710323624,15874078,15875544,1467
SXPDOWNUSDT,0.00000000,0.000,0.00000000,0.08950000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681651852002,1681738252002,-1,-1,0
BADGERUSDT,-0.06000000,-2.356,2.50956956,2.54400000,2.48700000,107.64000000,2.48600000,93.32000000,2.48900000,17.74000000,2.54700000,2.56100000,2.48000000,96074.58000000,241105.84169000,1684624205645,1684710605645,13546899,13548867,1969
